Sample in Buffer,Sample in Window,TRIGGER,system_top_i/rv_system/system_ila_0/inst/probe0_1[38:0],system_top_i/rv_system/system_ila_0/inst/probe1_1,system_top_i/rv_system/system_ila_0/inst/probe2_1,system_top_i/rv_system/system_ila_0/inst/probe3_1[4:0],system_top_i/rv_system/system_ila_0/inst/probe4_1[63:0],system_top_i/rv_system/system_ila_0/inst/probe5_1[63:0],system_top_i/rv_system/system_ila_0/inst/probe6_1
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0080000184,0,0,13,ffffffff800f0000,000000002f077f5d,0
1,1,0,0080000184,0,0,13,ffffffff800f0000,000000002f077f5d,0
2,2,0,0080000188,1,1,14,0000000000000000,000000002f077f5d,0
3,3,0,0080000188,0,0,14,0000000000000000,000000002f077f5e,0
4,4,0,0080000188,0,0,14,0000000000000000,000000002f077f5e,0
5,5,0,008000018c,1,1,15,ffffffff80113d10,000000002f077f5e,0
6,6,0,008000018c,0,0,15,ffffffff80113d10,000000002f077f5f,0
7,7,0,008000018c,0,0,15,ffffffff80113d10,000000002f077f5f,0
8,8,0,0080000190,1,1,16,00000000000011f8,000000002f077f5f,0
9,9,0,0080000190,0,0,16,00000000000011f8,000000002f077f60,0
10,10,0,0080000190,0,0,16,00000000000011f8,000000002f077f60,0
11,11,0,0080000194,1,1,17,ffffffff800cc000,000000002f077f60,0
12,12,0,0080000194,0,0,17,ffffffff800cc000,000000002f077f61,0
13,13,0,0080000194,0,0,17,ffffffff800cc000,000000002f077f61,0
14,14,0,0080000198,1,1,18,0000000000000000,000000002f077f61,0
15,15,0,0080000198,0,0,18,0000000000000000,000000002f077f62,0
16,16,0,0080000198,0,0,18,0000000000000000,000000002f077f62,0
17,17,0,008000019c,1,1,19,0000000000001ee0,000000002f077f62,0
18,18,0,008000019c,0,0,19,0000000000001ee0,000000002f077f63,0
19,19,0,008000019c,0,0,19,0000000000001ee0,000000002f077f63,0
20,20,0,00800001a0,1,1,1a,ffffffff80118000,000000002f077f63,0
21,21,0,00800001a0,0,0,1a,ffffffff80118000,000000002f077f64,0
22,22,0,00800001a0,0,0,1a,ffffffff80118000,000000002f077f64,0
23,23,0,00800001a4,1,1,1b,0000000000000000,000000002f077f64,0
24,24,0,00800001a4,0,0,1b,0000000000000000,000000002f077f65,0
25,25,0,00800001a4,0,0,1b,0000000000000000,000000002f077f65,0
26,26,0,00800001a8,1,1,1c,0000000000000000,000000002f077f65,0
27,27,0,00800001a8,0,0,1c,0000000000000000,000000002f077f66,0
28,28,0,00800001a8,0,0,1c,0000000000000000,000000002f077f66,0
29,29,0,00800001ac,1,1,1d,0000000000000000,000000002f077f66,0
30,30,0,00800001ac,0,0,1d,0000000000000000,000000002f077f67,0
31,31,0,00800001ac,0,0,1d,0000000000000000,000000002f077f67,0
32,32,0,00800001b0,1,1,1e,6db6db6db6db6db7,000000002f077f67,0
33,33,0,00800001b0,0,0,1e,6db6db6db6db6db7,000000002f077f68,0
34,34,0,00800001b0,0,0,1e,6db6db6db6db6db7,000000002f077f68,0
35,35,0,00800001b4,1,1,1f,ffffffff800f2654,000000002f077f68,0
36,36,0,00800001b4,0,0,1f,ffffffff800f2654,000000002f077f69,0
37,37,0,00800001b4,0,0,1f,ffffffff800f2654,000000002f077f69,0
38,38,0,00800001b8,1,1,02,ffffffff80113c70,000000002f077f69,0
39,39,0,00800001bc,1,1,00,000000000000b109,000000002f077f6a,0
40,40,0,00800001c0,0,0,02,000000008000bdc0,000000002f077f6b,0
41,41,0,00800001c0,0,0,02,000000008000bdc0,000000002f077f6b,0
42,42,0,00800001c0,0,0,02,000000008000bdc0,000000002f077f6b,0
43,43,0,00800001c0,0,0,02,000000008000bdc0,000000002f077f6b,0
44,44,0,00800001c0,0,0,02,000000008000bdc0,000000002f077f6b,0
45,45,0,00800001c0,0,0,02,000000008000bdc0,000000002f077f6b,0
46,46,0,00800001c0,0,0,02,000000008000bdc0,000000002f077f6b,0
47,47,0,00800001c0,0,0,02,000000008000bdc0,000000002f077f6b,0
48,48,0,7f800ba340,1,0,0f,0000000000000000,000000002f077f6b,0
49,49,0,7f800ba340,0,0,0f,0000000000000000,000000002f077f6c,0
50,50,0,7f800ba340,0,0,0f,0000000000000000,000000002f077f6c,0
51,51,0,7f800ba340,0,0,0f,0000000000000000,000000002f077f6c,0
52,52,0,7f800ba340,0,0,0f,0000000000000000,000000002f077f6c,0
53,53,0,7f800ba340,0,0,0f,0000000000000000,000000002f077f6c,0
54,54,0,7f800ba340,0,0,0f,0000000000000000,000000002f077f6c,0
55,55,0,7f800ba340,0,0,0f,0000000000000000,000000002f077f6c,0
56,56,0,0080000004,1,1,02,000000008000bdc0,000000002f077f6c,0
57,57,0,0080000004,0,0,02,000000008000bdc0,000000002f077f6d,0
58,58,0,0080000008,1,0,00,000000008000000c,000000002f077f6d,0
59,59,0,0080000008,0,0,00,000000008000000c,000000002f077f6e,0
60,60,0,0080000008,0,0,00,000000008000000c,000000002f077f6e,0
61,61,0,008000000c,1,0,00,00000000000003e8,000000002f077f6e,0
62,62,0,008000000c,0,0,00,00000000000003e8,000000002f077f6f,0
63,63,0,008000000c,0,0,00,00000000000003e8,000000002f077f6f,0
64,64,0,0080000010,1,0,00,0000000000000000,000000002f077f6f,0
65,65,0,0080000014,1,1,0b,0000000000000002,000000002f077f70,0
66,66,0,0080000014,0,0,0b,0000000000000002,000000002f077f71,0
67,67,0,0080000018,1,0,00,000000008000001c,000000002f077f71,0
68,68,0,0080000018,0,0,00,000000008000001c,000000002f077f72,0
69,69,0,0080000018,0,0,00,000000008000001c,000000002f077f72,0
70,70,0,008000009c,1,0,00,ffffffff80019d2c,000000002f077f72,0
71,71,0,008000009c,0,0,00,ffffffff80019d2c,000000002f077f73,0
72,72,0,008000009c,0,0,00,ffffffff80019d2c,000000002f077f73,0
73,73,0,00800000a0,1,0,00,ffffffff800ea868,000000002f077f73,0
74,74,0,00800000a0,0,0,00,ffffffff800ea868,000000002f077f74,0
75,75,0,00800000a0,0,0,00,ffffffff800ea868,000000002f077f74,0
76,76,0,00800000a4,1,0,00,ffffffff80118000,000000002f077f74,0
77,77,0,00800000a4,0,0,00,ffffffff80118000,000000002f077f75,0
78,78,0,00800000a4,0,0,00,ffffffff80118000,000000002f077f75,0
79,79,0,00800000a8,1,0,00,ffffffff800f5e48,000000002f077f75,0
80,80,0,00800000ac,1,1,05,00000000800090ac,000000002f077f76,0
81,81,0,00800000ac,0,0,05,00000000800090ac,000000002f077f77,0
82,82,0,00800000ac,0,0,05,00000000800090ac,000000002f077f77,0
83,83,0,00800000b0,1,0,00,0000000000000038,000000002f077f77,0
84,84,0,00800000b4,1,1,06,0000000000000010,000000002f077f78,0
85,85,0,00800000b4,0,0,06,0000000000000010,000000002f077f79,0
86,86,0,00800000b4,0,0,06,0000000000000010,000000002f077f79,0
87,87,0,00800000b8,1,0,00,0000000000000200,000000002f077f79,0
88,88,0,00800000bc,1,1,06,00000000800090bc,000000002f077f7a,0
89,89,0,00800000bc,0,0,06,00000000800090bc,000000002f077f7b,0
90,90,0,00800000bc,0,0,06,00000000800090bc,000000002f077f7b,0
91,91,0,00800000c0,1,0,00,0000000000001130,000000002f077f7b,0
92,92,0,00800000c0,0,0,00,0000000000001130,000000002f077f7c,0
